,0,1,2,5,10,40,80,120,200,500,1000,5000,10000,15000,20000,50000,100000
0,0,203,67,16,17,14,0,2,0,0,0,0,0,0,0,0,0
1,0,0,28,10,34,22,11,87,0,0,0,0,0,0,0,0,0
2,0,0,3,0,4,17,15,273,0,0,0,0,0,0,0,0,0
5,0,0,5,9,6,36,24,767,0,0,0,0,0,0,0,0,0
10,0,0,6,6,8,27,65,96,0,0,0,0,0,0,0,0,0
20,0,0,7,10,2,14,47,1974,0,0,0,0,0,0,0,0,0
30,0,0,4,3,4,9,10,271,0,0,0,0,0,0,0,0,0
60,0,0,18,56,21,61,76,126,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2592000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
