0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6362.0,2588.0,4614.0,4602.0,5345.0,161.0,153.0,8.0,14.0,1221.0,157.0,147.0,4620.0,4763.0,5294.0,1319.0,713.0,2244.0,585.0,5.0,2.0,6.0,6.0,533.0,159.0,3.0,93.0,3.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7621.0,3176.0,4883.0,4865.0,5917.0,384.0,371.0,14.0,22.0,6027.0,371.0,365.0,4869.0,5249.0,5835.0,932.0,536.0,3725.0,653.0,4.0,2.0,7.0,7.0,801.0,39.0,0.0,91.0,1.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5572.0,1574.0,3520.0,3519.0,6339.0,1458.0,1447.0,11.0,176.0,3583.0,1691.0,1451.0,3526.0,4977.0,4585.0,529.0,261.0,2075.0,0.0,1.0,1.0,1.0,1.0,192.0,168.0,8.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
4606.0,1592.0,3417.0,3390.0,4232.0,501.0,494.0,7.0,54.0,401.0,568.0,487.0,3514.0,3882.0,3886.0,108.0,673.0,215.0,6.0,10.0,5.0,8.0,8.0,235.0,75.0,2.0,152.0,2.0,3.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3473.0,1240.0,2679.0,2673.0,2923.0,244.0,237.0,7.0,12.0,204.0,240.0,230.0,2794.0,2904.0,3016.0,84.0,578.0,0.0,3.0,2.0,2.0,2.0,2.0,203.0,129.0,0.0,87.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435.0,988.0,1691.0,1656.0,1783.0,96.0,86.0,10.0,13.0,0.0,86.0,84.0,1489.0,1563.0,1565.0,17.0,359.0,0.0,2.0,12.0,7.0,24.0,24.0,210.0,147.0,0.0,102.0,7.0,2.0,2.0,9.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0
6128.0,1957.0,4510.0,4498.0,5963.0,927.0,922.0,6.0,36.0,203.0,955.0,937.0,4781.0,5356.0,5664.0,105.0,711.0,0.0,10.0,5.0,0.0,1.0,1.0,235.0,198.0,0.0,90.0,1.0,3.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0
6040.0,2044.0,4807.0,4707.0,5563.0,542.0,530.0,13.0,55.0,0.0,549.0,521.0,4914.0,5249.0,5365.0,26.0,1236.0,0.0,3.0,27.0,9.0,25.0,25.0,247.0,93.0,0.0,86.0,8.0,19.0,29.0,36.0,17.0,10.0,2.0,1.0,0.0,0.0,1.0,10.0,4.0,6.0,2.0,0.0,4.0,0.0,13.0,4.0,0.0,6.0,3.0
2087.0,885.0,1233.0,1230.0,1435.0,116.0,107.0,9.0,19.0,203.0,118.0,104.0,844.0,929.0,929.0,6.0,207.0,0.0,8.0,1.0,1.0,1.0,1.0,264.0,228.0,0.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1618.0,793.0,702.0,702.0,753.0,51.0,48.0,3.0,6.0,0.0,48.0,45.0,572.0,600.0,617.0,3.0,49.0,0.0,3.0,0.0,0.0,0.0,0.0,306.0,228.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
