,0,1,2,5,10,40,80,120,200,500,1000,5000,10000,15000,20000,50000,100000
0,0,204,69,19,28,576,0,0,0,0,0,0,0,0,0,0,0
1,0,0,28,14,59,2284,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,9,605,0,0,0,0,0,0,0,0,0,0,0
5,0,0,5,9,8,2330,0,0,0,0,0,0,0,0,0,0,0
10,0,0,6,6,8,4355,0,0,0,0,0,0,0,0,0,0,0
20,0,0,7,10,5,155,0,0,0,0,0,0,0,0,0,0,0
30,0,0,4,3,6,64,0,0,0,0,0,0,0,0,0,0,0
60,0,0,18,56,21,142,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2592000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
