,0,1,2,5,10,40,80,120,200,500,1000,5000,10000,15000,20000,50000,100000
0,0,5613,1455,1266,735,17678,0,0,0,0,0,0,0,0,0,0,0
1,0,0,299,619,868,63058,0,0,0,0,0,0,0,0,0,0,0
2,0,0,21,58,147,11756,0,0,0,0,0,0,0,0,0,0,0
5,0,0,73,89,92,12585,0,0,0,0,0,0,0,0,0,0,0
10,0,0,145,144,82,9582,0,0,0,0,0,0,0,0,0,0,0
20,0,0,213,182,129,1481,0,0,0,0,0,0,0,0,0,0,0
30,0,0,252,217,102,607,0,0,0,0,0,0,0,0,0,0,0
60,0,0,789,1032,703,2903,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2592000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
