,0,1,2,5,10,40,80,120,200,500,1000,5000,10000,15000,20000,50000,100000
0,0,242,107,48,1,0,0,306,0,0,0,0,0,0,0,0,0
1,0,0,3,4,0,0,0,359,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,8,0,57,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,2,6,41,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,3,1473,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0
120,0,0,0,23,9,1,0,96,0,0,0,0,0,0,0,0,0
300,0,0,0,2,4,2,0,342,0,0,0,0,0,0,0,0,0
600,0,0,1,1,0,0,0,54,0,0,0,0,0,0,0,0,0
1200,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0
1800,0,0,2,3,1,0,0,10,0,0,0,0,0,0,0,0,0
3600,0,0,37,1,7,3,0,29,0,0,0,0,0,0,0,0,0
86400,0,0,7,102,10,6,17,884,0,0,0,0,0,0,0,0,0
604800,0,0,11,152,217,117,32,971,0,0,0,0,0,0,0,0,0
2592000,0,0,75,322,20781,17268,19287,21222,0,0,0,0,0,0,0,0,0
