,0,1,2,5,10,40,80,120,200,500,1000,5000,10000,15000,20000,50000,100000
0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,2,1271,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
300,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0
86400,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0
604800,0,0,0,8,8,3,6,216,0,0,0,0,0,0,0,0,0
2592000,0,0,0,3,1699,6357,14395,12402,0,0,0,0,0,0,0,0,0
